fecha,punto_verde,unidad,cantidad,kg_residuos_secos_reciclables,destino,observaciones
2020/02/26,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/02/26,Plaza Torrent,kg,30,30,Cooperativa Fortaleza,NULL
2020/02/26,Plaza Torrent,kg,35,35,Cooperativa Fortaleza,NULL
2020/02/28,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/02/28,Plaza Torrent,kg,30,30,Cooperativa Fortaleza,NULL
2020/02/28,Plaza Libertad,kg,35,35,Cooperativa Fortaleza,NULL
2020/04/03,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/04/03,Parque Camba Cua,kg,10,10,Cooperativa Fortaleza,NULL
2020/04/03,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2020/05/19,NULL,kg,10,10,Cooperativa Fortaleza,NULL
2020/05/19,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2020/05/19,Plaza Torrent,kg,3,3,Cooperativa Fortaleza,NULL
2020/05/19,Parque Camba Cua,kg,4,4,Cooperativa Fortaleza,NULL
2020/05/26,Plaza Libertad,kg,35,35,Cooperativa Fortaleza,NULL
2020/05/26,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/05/26,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
2020/06/08,Parque Camba Cua,kg,50,50,Cooperativa Fortaleza,NULL
2020/06/08,Plaza Torrent,kg,60,60,Cooperativa Fortaleza,NULL
2020/06/08,Plaza Libertad,kg,10,10,Cooperativa Fortaleza,NULL
2020/06/23,NULL,kg,15,15,Cooperativa Fortaleza,NULL
2020/06/23,Plaza Libertad,kg,3.5,3.5,Cooperativa Fortaleza,NULL
2020/06/23,Plaza Torrent,kg,4,4,Cooperativa Fortaleza,NULL
2020/06/23,Parque Camba Cua,kg,2,2,Cooperativa Fortaleza,NULL
2020/07/07,Plaza Libertad,kg,2,2,Cooperativa Fortaleza,NULL
2020/07/07,Plaza Torrent,kg,3.5,3.5,Cooperativa Fortaleza,NULL
2020/07/07,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/07/11,Plaza Libertad,kg,20,20,Cooperativa Fortaleza,NULL
2020/07/11,Plaza Torrent,kg,25,25,Cooperativa Fortaleza,NULL
2020/07/11,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
2020/07/14,Plaza Libertad,kg,15,15,Cooperativa Fortaleza,NULL
2020/07/14,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/07/14,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/07/17,Plaza Libertad,kg,20,20,Cooperativa Fortaleza,NULL
2020/07/17,Plaza Torrent,kg,35,35,Cooperativa Fortaleza,NULL
2020/07/17,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/07/21,Plaza Libertad,kg,20,20,Cooperativa Fortaleza,NULL
2020/07/21,Plaza Torrent,kg,30,30,Cooperativa Fortaleza,NULL
2020/07/21,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/07/30,Plaza Libertad,kg,15,15,Cooperativa Fortaleza,NULL
2020/07/30,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/07/30,Parque Camba Cua,kg,10,10,Cooperativa Fortaleza,NULL
2020/08/08,Plaza Libertad,kg,15,15,Cooperativa Fortaleza,NULL
2020/08/08,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/08/08,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/08/09,Plaza Libertad,kg,15,15,Cooperativa Fortaleza,NULL
2020/08/09,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/08/09,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/08/14,Plaza Libertad,kg,15,15,Cooperativa Fortaleza,NULL
2020/08/14,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/08/14,NULL,kg,25,25,Cooperativa Fortaleza,NULL
2020/08/14,Parque Camba Cua,kg,30,30,Cooperativa Fortaleza,NULL
2020/08/18,Plaza Libertad,kg,20,20,Cooperativa Fortaleza,NULL
2020/08/18,Plaza Torrent,kg,30,30,Cooperativa Fortaleza,NULL
2020/08/18,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
2020/08/21,Plaza Libertad,kg,10,10,Cooperativa Fortaleza,NULL
2020/08/21,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/08/21,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2020/08/23,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2020/08/23,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/08/23,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
2020/03/28,Plaza Libertad,kg,10,10,Cooperativa Fortaleza,NULL
2020/03/28,Plaza Torrent,kg,15,15,Cooperativa Fortaleza,NULL
2020/03/28,Parque Camba Cua,kg,10,10,Cooperativa Fortaleza,NULL
2020/08/30,Plaza Libertad,kg,1,1,Cooperativa Fortaleza,NULL
2020/08/30,Plaza Torrent,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2020/08/30,Parque Camba Cua,kg,2,2,Cooperativa Fortaleza,NULL
2020/09/06,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2020/09/06,Plaza Torrent,kg,20,20,Cooperativa Fortaleza,NULL
2020/09/06,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
2020/09/11,Plaza Libertad,kg,2.5,2.5,Cooperativa Fortaleza,NULL
2020/09/11,Plaza Torrent,kg,2,2,Cooperativa Fortaleza,NULL
2020/09/11,Parque Camba Cua,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2020/09/13,Plaza Libertad,kg,20,20,Cooperativa Fortaleza,NULL
2020/09/13,Plaza Torrent,kg,25,25,Cooperativa Fortaleza,NULL
2020/09/13,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
